CTagger;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "0.989426+5.22946e-05*x+-2.05327e-07*x*x+1.50262e-10*x*x*x" 
0, incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "(0.989426+5.22946e-05*x+-2.05327e-07*x*x+1.50262e-10*x*x*x)*(1-(0.0136368+2.15615e-05*x+-1.98769e-08*x*x))" 
0, incl, down_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.989426+5.22946e-05*x+-2.05327e-07*x*x+1.50262e-10*x*x*x)*(1-(0.00941466+3.49323e-05*x+-3.85366e-08*x*x))" 
0, incl, down_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.989426+5.22946e-05*x+-2.05327e-07*x*x+1.50262e-10*x*x*x)*(1-(0.00963739))" 
0, incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "(0.989426+5.22946e-05*x+-2.05327e-07*x*x+1.50262e-10*x*x*x)*(1+(0.0136368+2.15615e-05*x+-1.98769e-08*x*x))" 
0, incl, up_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.989426+5.22946e-05*x+-2.05327e-07*x*x+1.50262e-10*x*x*x)*(1+(0.00941466+3.49323e-05*x+-3.85366e-08*x*x))" 
0, incl, up_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.989426+5.22946e-05*x+-2.05327e-07*x*x+1.50262e-10*x*x*x)*(1+(0.00963739))" 
1, incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "1.13443+-0.000823147*x+1.62972e-06*x*x+-9.39343e-10*x*x*x" 
1, incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "(1.13443+-0.000823147*x+1.62972e-06*x*x+-9.39343e-10*x*x*x)*(1-(0.0828219+-1.54561e-05*x+2.32455e-08*x*x))" 
1, incl, down_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.13443+-0.000823147*x+1.62972e-06*x*x+-9.39343e-10*x*x*x)*(1-(0.0402899+-8.28357e-05*x+7.44847e-08*x*x))" 
1, incl, down_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.13443+-0.000823147*x+1.62972e-06*x*x+-9.39343e-10*x*x*x)*(1-(0.0772912))" 
1, incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "(1.13443+-0.000823147*x+1.62972e-06*x*x+-9.39343e-10*x*x*x)*(1+(0.0828219+-1.54561e-05*x+2.32455e-08*x*x))" 
1, incl, up_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.13443+-0.000823147*x+1.62972e-06*x*x+-9.39343e-10*x*x*x)*(1+(0.0402899+-8.28357e-05*x+7.44847e-08*x*x))" 
1, incl, up_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.13443+-0.000823147*x+1.62972e-06*x*x+-9.39343e-10*x*x*x)*(1+(0.0772912))" 
2, incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "1.1422+-0.00101834*x+2.03734e-06*x*x+-1.13897e-09*x*x*x" 
2, incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "(1.1422+-0.00101834*x+2.03734e-06*x*x+-1.13897e-09*x*x*x)*(1-(0.104109+1.62739e-05*x+2.32083e-08*x*x))" 
2, incl, down_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.1422+-0.00101834*x+2.03734e-06*x*x+-1.13897e-09*x*x*x)*(1-(0.058799+-7.97103e-05*x+7.46998e-08*x*x))" 
2, incl, down_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.1422+-0.00101834*x+2.03734e-06*x*x+-1.13897e-09*x*x*x)*(1-(0.106023))" 
2, incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "(1.1422+-0.00101834*x+2.03734e-06*x*x+-1.13897e-09*x*x*x)*(1+(0.104109+1.62739e-05*x+2.32083e-08*x*x))" 
2, incl, up_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.1422+-0.00101834*x+2.03734e-06*x*x+-1.13897e-09*x*x*x)*(1+(0.058799+-7.97103e-05*x+7.46998e-08*x*x))" 
2, incl, up_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.1422+-0.00101834*x+2.03734e-06*x*x+-1.13897e-09*x*x*x)*(1+(0.106023))" 
