OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, used, central, 1, -2.4, 2.4, 30, 600, 0, 1, "0.917134+(0.00323705*(log(x-10.2157)*(log(x-10.2157)*(3-(0.470491*log(x-10.2157))))))" 
0, used, central, 0, -2.4, 2.4, 30, 600, 0, 1, "0.917134+(0.00323705*(log(x-10.2157)*(log(x-10.2157)*(3-(0.470491*log(x-10.2157))))))" 
0, used, down, 1, -2.4, 2.4, 30, 50, 0, 1, "0.917134+((0.00323705*(log(x-10.2157)*(log(x-10.2157)*(3-(0.470491*log(x-10.2157))))))-0.018806895241141319)" 
0, used, down, 1, -2.4, 2.4, 50, 70, 0, 1, "0.917134+((0.00323705*(log(x-10.2157)*(log(x-10.2157)*(3-(0.470491*log(x-10.2157))))))-0.01076420396566391)" 
0, used, down, 1, -2.4, 2.4, 70, 100, 0, 1, "0.917134+((0.00323705*(log(x-10.2157)*(log(x-10.2157)*(3-(0.470491*log(x-10.2157))))))-0.0060525583103299141)" 
0, used, down, 1, -2.4, 2.4, 100, 140, 0, 1, "0.917134+((0.00323705*(log(x-10.2157)*(log(x-10.2157)*(3-(0.470491*log(x-10.2157))))))-0.0065940003842115402)" 
0, used, down, 1, -2.4, 2.4, 140, 200, 0, 1, "0.917134+((0.00323705*(log(x-10.2157)*(log(x-10.2157)*(3-(0.470491*log(x-10.2157))))))-0.0087560731917619705)" 
0, used, down, 1, -2.4, 2.4, 200, 300, 0, 1, "0.917134+((0.00323705*(log(x-10.2157)*(log(x-10.2157)*(3-(0.470491*log(x-10.2157))))))-0.018594816327095032)" 
0, used, down, 1, -2.4, 2.4, 300, 600, 0, 1, "0.917134+((0.00323705*(log(x-10.2157)*(log(x-10.2157)*(3-(0.470491*log(x-10.2157))))))-0.072784945368766785)" 
0, used, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.917134+((0.00323705*(log(x-10.2157)*(log(x-10.2157)*(3-(0.470491*log(x-10.2157))))))-0.0094034476205706596)" 
